TRACT,FIPS,reg_tr,reg_youth_tr,reg_senior_tr,reg_adult_tr,reg_latinx_tr,vote_tr,vote_youth_tr,vote_senior_tr,vote_adult_tr,vote_latinx_tr,mail_tr
421100,6001,1648.0454,91.6115,601.7587,171.7459,49.5546,1100.907,31.032,477.129,75.6051,32.5286,0
421500,6001,3027.732,172.8741,995.2299,379.8725,88.9207,1959.7742,60.719,788.7044,140.2206,52.0805,0
421600,6001,2863.1499,166.6498,948.6351,424.3586,89.7351,1835.1207,55.1746,768.548,157.2012,51.938900000000004,0
422500,6001,2563.3757,883.8283,319.6696,732.9601,168.5996,959.8038,197.0992,233.2477,208.1258,36.2958,0
422600,6001,543.1568,296.9358,29.3354,146.2282,53.4139,121.7354,54.7402,21.5443,16.3749,10.0277,0
422400,6001,2487.0924999999997,509.6894,382.1648,824.1627,184.992,1063.3627999999999,133.8653,251.3804,287.0573,62.1546,0
421700,6001,2532.9262,238.3898,568.4704,648.6569,103.8354,1489.2165,87.5884,428.11719999999997,279.4599,56.570299999999996,0
422700,6001,3698.8489,1568.7784,111.0074,1621.2214,327.7065,573.7008,302.52299999999997,72.1031,77.031,58.1076,0
422800,6001,3940.0287,2720.88,65.87,820.8605,637.554,640.7444,409.0365,32.9256,88.9293,79.852,118
423700,6001,2592.1462,718.0375,586.027,531.0361,130.0067,1151.0615,133.0063,442.0204,118.0077,37.0024,0
400100,6001,2287.4727,116.1273,699.7918,261.3918,74.4165,1450.3128,36.4361,569.0614,85.0874,35.4775,247.00000000000003
423800,6001,2580.9436,165.0383,842.9908,374.9244,79.6013,1728.1022,57.1741,704.8299,145.6572,40.9856,3.2016
400200,6001,1487.1241,60.5193,390.2374,268.25600000000003,59.3489,991.22260000000006,21.382,327.1812,136.3658,29.1877,0
423902,6001,1250.9717,99.0034,245.1583,333.7396,64.13550000000001,753.1071000000001,29.1069,188.31820000000002,167.7173,29.4033,44.803200000000004
422300,6001,2493.0105,256.28159999999997,476.8641,625.7729,129.6367,1449.3616,89.9233,344.1293,267.5551,65.2401,0
423601,6001,2142.1065,383.4374,353.3032,595.7211,118.5647,1071.9768,87.6343,268.8917,204.3004,40.0611,0
423602,6001,3576.024,1328.1003,335.3255,1137.2021,329.6931,1184.0725,248.86479999999997,243.2122,254.5421,81.1978,0
423500,6001,2027.0918,256.5144,364.3672,548.7137,137.5044,1072.7633,76.7676,255.3817,215.3228,53.852,0
421200,6001,3064.4474999999998,203.1466,1093.3965,328.6028,91.8644,2100.8865,72.4379,912.1006,110.1584,66.2517,0
421300,6001,3319.5697,193.3056,1094.3114,369.2932,93.5069,2309.8153,76.8482,891.1993,145.5197,57.2792,0
421400,6001,1310.1324,91.1483,435.68670000000003,167.2855,38.047000000000004,913.464,29.0581,355.5611,82.1042,23.0335,0
421900,6001,2824.2218,178.511,654.5907,403.3424,115.2019,1849.6576,51.166599999999995,501.3033,176.6342,61.1265,234
421800,6001,1590.8719,114.6303,393.9827,253.8182,65.7963,1103.1204,39.9667,325.5234,106.4099,40.6979,0
422900,6001,2329.1139,723.7576,202.5047,795.3347,252.7909,687.565,135.4762,123.1413,186.4574,50.945100000000004,0
423000,6001,3133.0512,254.4159,598.8193,835.1354,194.2793,1699.6957,79.7357,420.3963,334.4106,69.5686,0
423100,6001,2765.9986,195.3135,609.7646,598.4549,201.51659999999998,1522.9337,56.4211,407.3836,225.727,87.9532,0
423400,6001,3377.9892,334.0008,501.9918,878.002,272.0021,1681.9882,89.0004,320.9936,346.0004,91.00019999999999,0
423901,6001,1731.7159,148.0971,247.2887,507.5906,110.5702,854.2734,41.7353,172.6478,186.8869,47.1199,0
424001,6001,2499.021,229.6599,268.2536,806.4942,245.1433,1035.8369,59.3377,152.7661,281.3344,83.7283,0
424002,6001,1475.0385999999999,138.4398,241.3178,352.6396,127.0766,647.5705,28.1451,138.1529,120.8583,50.1116,0
423300,6001,2735.0425999999998,194.0516,499.9736,544.7399,200.4173,1413.3674,43.0303,310.2063,196.9629,84.3745,0
422200,6001,2365.5747,156.4673,448.6524,586.7858,173.338,1416.9961,53.3471,322.8851,264.2665,73.495,0
422100,6001,1823.2965,134.0701,332.5306,371.9756,306.1616,951.8403999999999,35.7431,219.80599999999998,140.7422,134.9388,0
422000,6001,1403.363,82.973,243.596,308.15500000000003,116.915,622.457,13.265,153.269,92.296,41.089,1
423200,6001,1624.0765,139.0062,225.0104,384.019,260.0114,733.0348,30.0016,130.006,139.0074,95.0041,0
404400,6001,3819.0959000000003,204.0079,879.7489,376.0409,168.6362,2421.3011,60.9027,698.3698,129.9578,98.0934,0
404200,6001,2489.7586,158.6716,592.2716,241.6508,78.1046,1680.4346,51.1768,494.0196,88.2176,38.053,63.99999999999999
404300,6001,2467.8125999999997,132.0492,649.8368,319.8658,81.8903,1729.1323,47.782,573.5903,144.0163,50.9445,0
400300,6001,3648.2817,162.5527,610.9965,835.6571,181.7584,2190.6531,50.6876,462.1317,381.88190000000003,85.8152,71
400400,6001,2803.7355,124.0508,454.1036,753.2447999999999,139.0352,1706.378,39.0159,351.0748,379.1081,70.0209,0
401100,6001,3000.3739,162.5035,265.9407,1130.3903,224.9604,1529.58,47.0687,168.2861,535.1861,102.5722,21
401300,6001,1804.4004,114.0033,274.1903,576.3025,109.3492,781.2845,26.258799999999997,150.65879999999999,233.08679999999998,41.640499999999996,0
404101,6001,2231.6942,91.1262,468.8397,536.7728,138.6479,1319.4902,36.7116,322.2785,240.6566,78.6787,182
404000,6001,2124.7942,77.3815,330.4943,611.3245,143.502,1183.7504,27.1574,241.3734,262.1584,62.9955,53.00000000000001
