TRACT,FIPS,reg_tr,reg_youth_tr,reg_senior_tr,reg_adult_tr,reg_latinx_tr,vote_tr,vote_youth_tr,vote_senior_tr,vote_adult_tr,vote_latinx_tr,mail_tr
1700,6053,1755.12721498622,209.14178699956,326.68316875153,345.00693424374,844.69992554307,957.75138382821,74.36178135242,239.03590060521998,127.05329953276,384.13760913484,740.77317568195
1600,6053,1692.99999969526,159.9999999712,444.9999999199,251.99999995464,564.9999998983,1078.99999980578,71.99999998704,358.99999993538,104.9999999811,310.99999994402,830.99999985042
1500,6053,3425.9999997566,293.24493925018,943.26917599147,522.46066305545,1096.9464382639,2257.51920325183,117.26775357489001,754.41935654924,267.77016083003,632.07194436893,1777.49999987215
12502,6053,3026.99999888192,177.24155496052,787.71295665638,584.39680549614,299.67671989442,2125.92642103398,91.5999394396,634.38417471202,334.49010861856,194.15077617054,1535.51127811644
12600,6053,91.99999997332,12.846772938,15.214740922939999,18.165770049309998,7.59570602676,47.97797723556,3.25814151887,12.501775897109999,8.09287638521,2.80129230794,41.08023435395
12302,6053,1287.99999942735,59.65948224151,497.41265312905,133.47778084467,81.82737202233,1013.69197168203,32.51742209356,432.40950250289,83.50234427504,57.54180694001,760.11379934798
12700,6053,2286.99999936914,130.3283545159,663.32040978782,436.43901359246,183.76978878942,1636.51596015839,75.3058864959,539.64087538241,252.88511440318,126.58890455797,1197.93746847424
12800,6053,3658.99999955166,189.72456541725,1515.0299430376401,380.23578798718,233.1496590913,2854.31745114737,96.54550334726,1316.0158374495,221.61736853487,174.61416290377,2190.81530865951
13000,6053,1759.99999956735,108.3005612572,604.13602218086,337.53820090524,154.96195612806,1207.45562857481,57.62787469962,467.50652621426,206.15012491559,93.6170047795,939.67578548532
13300,6053,2976.99999944194,248.39960585173,694.60598044824,591.00117813162,504.60396935296,1896.59527450119,98.34276600049,543.19359677622,325.06539221352,273.91738100909,1373.3008773278
13200,6053,3240.9999997573,232.62862999512,1355.7926039691401,299.0416249496,204.09892048236,2497.29436747426,128.83187741743,1176.96959046654,169.25039474669,142.80543871444,2332.90228200919
12402,6053,2081.999999409,114.32785530914,819.4484788695701,217.64047687833,137.24199509614,1642.08107501636,59.77086469244,723.2973137918,133.99312552428,99.3159277319,1293.00665789196
12100,6053,1508.99999977669,105.13178170515,540.45932743377,165.60075091906,121.98705133789,1144.1865571640599,55.82934351242,467.0285201331,93.31179636071,75.78620053127,870.43702060671
12200,6053,1828.99999914703,98.99685439939,728.50743852108,181.07145397084,120.6318535313,1413.07306099768,52.07949005712,617.76966330647,110.26211510639999,81.78401616476,1066.07867463406
12401,6053,1118.99999938753,47.96805982646,431.26164892044,116.25071342058,68.00078679438,889.64549722216,26.66048755626,379.28920816186,74.01173579643,48.80490501794,666.57505565084
12000,6053,2141.99999976691,147.37585264427,655.69440647714,285.79331511216,187.21555250355001,1620.76466558073,76.40518416631,560.5450204029,170.0306957523,131.3281036692,1188.51841733313
11900,6053,3136.9999986342,151.3464447154,1571.80484046264,207.0937971874,94.17322234882,2436.23222284082,68.22541600716,1358.71104327812,114.12934942154,56.06051434716,1973.04462848954
11801,6053,1348.99999993255,38.99999999805,669.9999999665,65.99999999669998,37.9999999981,1080.99999994595,22.99999999885,581.9999999708999,39.99999999799999,29.999999998499998,784.99999996075
11700,6053,3758.99999903599,174.49280722702,1792.73730441786,205.60860794429001,146.56876549341,2954.2637104795103,80.48969478545,1545.6575213860199,103.33785524527,105.79923724366,2267.49631337878
11802,6053,154.99999993281,4.2779020303,87.98174696142,5.26448983754,5.26927498931,124.83805618176001,1.51074718289,75.74575126097,2.87889187058,4.08538866178,95.25731280444
11602,6053,3651.99999971236,164.18419062167,1916.4276181094501,222.17191851248,148.9012966745,2883.96067553014,86.50401855991,1645.83911925648,102.07780916152001,103.96739668232,2320.26970193324
11604,6053,1953.99999985076,76.77166135130001,1149.70577144796,115.29836565348,73.83789375414,1570.22676186898,41.54633501619,989.13327838117,51.74801112654,49.34599560016,1362.2759994186001
11000,6053,4940.99999953651,269.19587112505,1837.08160665423,467.52849932107,315.22437279555,3781.7949782453998,136.69164059681,1586.79991517846,239.9776518422,194.15295267752,2820.08622085296
11502,6053,295.99999997010997,15.42842153782,101.44110885406,42.79292325726,16.69533164238,205.19691581369,7.07088472961,83.0520263054,19.32369243737,9.40949409355,178.32571493914
10701,6053,5176.9999996817205,419.40905035374004,1332.052087242,596.8032598001801,640.62118050718,3758.7785766042603,208.76535502518,1140.14917344694,279.60476214642,418.55113616404003,2979.68399130446
10702,6053,2935.99999970224,186.97515728887,1084.1930291482,316.34861510935997,219.08142733014,2249.9478421211097,91.39833930944,953.01073516569,149.72793639061,148.68459823972,1866.16351306646
13100,6053,145.99999998372,28.6274509772,5.00980392101,34.35294117264,14.3137254886,55.107843131109995,5.72549019544,3.57843137215,13.59803921417,3.57843137215,53.67647058225
108100,6041,4705.9999995240105,340.3778590719,1451.81793215551,413.0704482639,205.0713632,3999.47849913699,206.91948762982,1322.74565403405,287.22689841411,165.68892953544,2988.79963373667
108200,6041,3801.99999946743,272.75976212072,1453.99045057678,363.83994957065,289.43160114821,2965.78505015837,138.57181346251,1236.97744426338,221.95408014243,197.63209285959,2330.83766104804
106001,6041,2334.99999981594,166.38546981566,807.59711791823,277.94866404301,219.86070247433,1724.73971766702,66.49114379553,677.80005998792,176.03842688503002,126.87751425020001,1316.92945051211
106002,6041,3378.99999956654,235.25812617136,1087.6726331195,343.75197042262,318.92045766614,2710.45603995788,138.95918883496,952.8190929604999,213.18774877692,220.040352931,2008.63540542239
109002,6041,2862.99999965524,188.3345586679,840.49296368383,298.76663845653,140.02636446922,2374.93187669694,107.42256748865,749.09394676208,208.44916360635,106.76739932305,1706.05180344279
111000,6041,3313.88604502075,212.6490125182,867.20508589318,459.4688865096,232.55972619157,2618.15027737069,117.6557687732,763.62630553,284.07975357845,139.70704725867,1851.91968519187
109001,6041,2192.99999979388,139.1764895116,608.27774717516,299.3490888456,200.32688614308,1688.18772165868,72.29112676468,531.13757543268,181.46645330736,130.89275645388,1225.30474727484
110100,6041,3617.99999953934,254.47871988766,1235.30213244098,400.49059780348,238.55075056733,2942.8952268418598,132.45163021127,1112.4617920026699,255.049276874,174.56388933937,2216.17112457332
