GEOID,mail,youth,adult,latinx
6037228310,,9.025643759,15.5486726,18.66907643
6037235202,,5.306409193,6.133465341,9.368494943
6037235201,,9.820550629,7.866465328,10.87103586
6037237900,,4.744685979,4.276790667,5.60729933
6037238100,,7.445272703,7.871270021,10.81442841
6037275102,,13.66045006,6.465138906,6.259938967
6037275200,,11.59582196,5.337072686,5.070915029
6037238000,,5.289098231,4.124828947,5.60577987
6037238400,,4.899331803,4.640876531,6.212703825
6037240200,,8.265779629,7.566588534,11.27558476
6037103300,,3.535391052,5.173717052,6.331631582
6037240700,,15.0465496,13.27227907,18.61040681
6037240800,,17.82711602,9.560612283,14.88804439
6037241110,,12.45278804,8.811696782,12.22772797
6037241120,,11.73428935,7.270219901,10.19272574
6037241202,,8.018477782,9.019259492,12.61190249
6037107020,,5.531271412,5.35361854,6.431225144
6037107010,,7.067337666,5.502617124,6.228200201
6037201302,,3.216384419,6.036113287,6.453942779
6037106510,,6.582097358,5.712852141,6.909102711
6037106111,,5.413614408,6.922495313,8.266114312
6037189902,,8.161237152,9.085661995,9.268783509
6037104203,,6.96065298,8.878161381,10.96521838
6037104320,,5.235545227,7.660949564,9.247986944
6037113211,,4.079535947,4.508095519,5.654922658
6037189600,,17.60927239,9.701915468,10.30343344
6037190301,,13.22436455,10.65444498,9.873625459
6037186100,,6.373051086,5.974804343,5.931624475
6037186201,,7.385620924,11.22595203,11.48085368
6037186202,,7.039786211,15.66230565,16.02144041
6037201200,,8.553569127,7.759907258,8.927259918
6037104310,,9.420964873,8.188218334,9.548058331
6037195300,,6.893948891,5.64264995,5.031721151
6037109500,,7.358715415,9.159992291,10.11318676
6037109400,,5.911877507,7.256058047,8.57744977
6037295103,,3.363160141,4.673942053,5.604376959
6037106645,,3.061144431,5.793166298,7.206365669
6037106646,,5.114902105,7.008120528,7.814146335
6037199110,,10.45421556,11.97815735,12.83033235
6037199202,,6.474893842,7.70975037,8.283749517
6037293302,,5.814601196,5.475963697,6.620288896
6037111100,,8.598915989,7.1831571,8.599075563
6037293201,-1,12.57535377,10.40626951,12.26357357
6037143602,,3.387233769,7.17818154,7.592661677
6037108201,,10.75962858,8.038469393,10.62007613
6037109700,,12.57164751,12.58004158,15.21437659
6037123303,,5.157072083,8.652068958,10.41810776
6037123304,,9.760480773,11.03031657,12.87846406
6037123420,,5.126236624,8.387840154,10.56163103
6037212420,,7.641402699,7.43516643,8.09523982
6037213201,,6.7577925,9.72126512,10.13576905
6037213310,,14.87789768,9.507824829,11.47831249
6037213320,,13.48007962,9.667043547,11.468817
6037117202,,10.88365616,11.48631465,13.47871096
6037117301,,14.68217371,21.84142418,24.76309218
6037134001,,6.610132038,7.848777962,8.591331636
6037134521,,6.809811961,9.334214422,10.32521077
6037238200,,9.341402818,7.004740744,10.66749199
6037197600,,16.89235027,11.35991555,10.00699298
6037197700,,17.37497421,8.702667052,8.887289515
6037188100,,33.58336481,9.133782901,8.824865317
6037208000,,10.23084627,15.11760613,15.90892018
6037119202,,6.323951147,21.1262985,23.06209568
6037124500,,2.957767264,5.595935966,6.033562868
6037119341,,10.46551724,8.516553288,10.7906855
6037294410,-1,7.29255698,8.810983344,10.46422724
6037104822,,6.566096828,6.406705997,7.318857063
6037113233,,6.220975318,7.51737934,8.020183678
6037190901,,15.95104997,15.16795432,19.93778174
6037104821,,6.076105895,6.13237098,7.056987173
6037117101,,6.346018583,5.633746971,6.93840247
6037119340,,7.470790378,4.986394558,6.203852327
6037120108,,10.82570923,8.924924442,10.26164031
6037113232,,4.201630199,2.826618344,3.806473417
6037128702,,2.417324708,5.110290583,5.288848081
6037120020,,8.167417009,9.77703753,12.05202796
6037120030,,9.974709501,10.4573851,12.22898551
6037120106,,8.516746411,4.17733564,6.237222758
6037120107,,9.264693446,5.731773791,6.47289504
6037117408,,9.626960784,4.102309118,4.842611575
6037117530,,5.691122018,7.424654822,8.572905747
6037141101,,4.799076325,6.192192112,6.134565173
6037143902,,3.558635045,6.320345819,6.882265987
6037134104,,4.132025752,11.0362304,12.74798304
6037134103,,3.474034548,10.97534229,12.09453681
6037120010,,3.206038646,4.778999633,5.96305137
6037127520,,6.149825784,6.038499025,7.271551724
6037102103,,6.904871331,7.067167819,9.420471302
6037131300,,3.966280172,6.93714769,7.380147208
6037980014,-1,3.351928321,23.12659542,26.81219895
6037980031,-1,2.071757505,6.192340183,6.784643598
6037143300,,4.46081678,5.870551562,5.527149979
6037296220,,12.05884259,8.504120981,9.573135744
6037143100,,8.378320017,7.992283788,8.412969743
6037183101,,9.248188045,6.624814948,7.13160105
6037183103,,9.311558636,7.607339139,8.106251689
6037183104,,7.276405892,6.737991465,7.220761426
6037183300,,5.974188046,7.054931409,7.385385641
6037101122,,4.607633123,8.586044061,10.90170998
6037103101,-1,4.539499705,5.855066289,7.738131491
6037103102,,4.745561174,7.696765645,10.22971857
6037275311,,5.728437539,5.434900879,5.687164805
6037275500,,9.322177928,14.21868898,15.67276753
6037276400,,3.926742133,3.37769812,4.195896006
6037278001,,4.802641821,8.351395758,8.806328958
6037224410,,13.53763378,9.326119992,12.34627021
6037224420,,13.11154803,15.02902868,19.00302259
6037277400,,6.065217391,8.80730897,8.899033298
6037121020,,7.287281451,6.769339185,8.153075089
6037206020,,3.371428571,4.1875,4.118942731
6037207102,,3.341479645,5.470200887,5.385875874
6037207103,,5.643207119,6.617882315,6.965852583
6037207101,,8.755725191,6.888172043,7.939759036
6037187101,,6.190333828,7.499074443,7.509301128
6037187102,,9.418713373,7.383848345,7.615800984
