TRACT,FIPS,reg_tr,reg_youth_tr,reg_senior_tr,reg_adult_tr,reg_latinx_tr,vote_tr,vote_youth_tr,vote_senior_tr,vote_adult_tr,vote_latinx_tr,mail_tr
421100,6001,1717.1716999999999,109.042,578.7257999999999,188.0745,50.0206,1460.5648999999999,69.0262,541.2130999999999,121.5472,43.0146,921.357
421500,6001,3129.0152,225.86880000000002,921.461,419.6094,92.98769999999999,2583.8232,141.8973,832.9576,268.06,70.1078,1586.4658
421600,6001,2978.9788,236.1017,895.5544,477.2669,84.4987,2419.96,147.6658,804.9235,300.3863,63.7524,1493.6122
422500,6001,2828.8395,993.2323,319.5978,786.1209,189.958,1795.7083,592.7736,269.8352,403.61170000000004,106.60300000000001,854.1525
421700,6001,2715.9409,303.2617,569.9183,646.9458,110.0485,2141.0368,206.4958,501.0855,443.88210000000004,80.89580000000001,1161.3687
422400,6001,2688.9046,715.6302000000001,335.1586,846.8084,171.32580000000002,1821.2676000000001,469.8108,259.8266,522.3166,117.6608,896.9658000000001
400100,6001,2354.2698,140.5391,624.7767,294.2535,81.1191,1947.1611,81.8316,564.1677999999999,201.9599,66.2816,1418.2401
422600,6001,406.0864,327.9597,3.8802,62.3362,49.4893,224.9438,194.51819999999998,3.5736,20.1929,26.6617,56.6728
422700,6001,3863.2302999999997,1962.4932,122.8973,1408.2597,305.0414,1435.0027,952.7826,96.6709,182.4095,124.2905,491.4423
422800,6001,4242.592799999999,3142.2160999999996,59.053,725.8755,640.264,2235.2716,1788.1377,45.8912,210.3405,368.6269,724.6259
423700,6001,2780.0739999999996,897.3713,564.9870999999999,519.9468999999999,141.8809,1903.7732999999998,541.9087,488.6408,216.80689999999998,82.7362,948.2381
423800,6001,2552.1487,198.3786,766.0435,370.27209999999997,74.3378,2078.1436,117.4342,692.8533,222.4623,59.5747,1280.1895
400200,6001,1566.9145,75.1542,364.1422,310.4232,63.4623,1340.1545999999998,49.7372,334.3562,236.1661,54.0125,818.5609
404300,6001,2617.0208,169.6018,616.1051,343.8935,88.5894,2263.0111,106.25129999999999,573.5409,256.7115,76.4225,1423.8033999999998
400400,6001,2976.9256,175.3957,416.0983,868.1602,143.5094,2492.7469,128.5312,376.5948,675.2471,119.20230000000001,1317.792
423902,6001,1275.0979,149.3382,215.1802,324.1711,68.3628,1005.3513,93.0101,190.1264,226.84789999999998,50.6169,621.0535
423601,6001,2253.9984,623.4108,265.9866,562.8384,143.2902,1551.5495999999998,373.0992,224.60039999999998,305.3922,85.1352,757.6812
423602,6001,3739.2001,1520.7819,323.8221,939.6977,312.00579999999997,2359.7508,886.9483,278.07219999999995,450.44469999999995,194.2089,1028.6628
422300,6001,2644.0692,318.6144,434.40250000000003,695.0977,137.0331,2072.5123000000003,220.9427,386.0711,492.4479,105.28200000000001,1074.6707999999999
423500,6001,2137.058,333.717,356.39459999999997,537.3334,143.8089,1540.8919999999998,214.9765,280.5768,349.6069,103.4822,828.0393
423901,6001,1768.7307,208.0211,237.777,515.7466,114.2553,1312.6126,140.1072,185.2296,343.9288,87.44210000000001,651.0218
421200,6001,3122.1979,247.9281,1012.6351,326.2786,93.9358,2625.4386,159.0353,921.4988,177.4459,77.53819999999999,1616.7629
421300,6001,3339.8865,229.24349999999998,990.7623,369.2722,94.12519999999999,2784.3991,131.167,879.5862999999999,245.5573,73.5238,1714.2527
421400,6001,1369.9476,108.36330000000001,389.9085,194.4912,43.212599999999995,1145.8983,65.0949,346.6698,138.0774,35.1684,673.3266
420600,6001,2556.346,222.6721,520.4069000000001,315.1021,111.3284,2124.8181,139.5108,455.82,202.1821,91.0795,1278.929
421900,6001,2902.8548,207.2265,579.2081,448.4155,131.7618,2366.8927,132.6507,495.35429999999997,317.54449999999997,104.1516,1456.0513
421800,6001,1646.0174,120.4007,368.0693,297.9202,59.6428,1381.0214,83.0596,329.2693,214.0836,52.2863,771.6704
422900,6001,2459.8895,924.666,179.03660000000002,769.2104,256.2665,1440.9132,565.9326,135.2577,367.1672,152.8933,639.4156
423000,6001,3239.4049,344.1774,517.342,870.9536,188.6433,2435.9013999999997,219.6642,434.01070000000004,562.1686,122.0402,1291.4825
423100,6001,2923.6964,264.7274,581.485,629.4761,208.0399,2230.647,179.8448,460.746,439.9823,154.9419,1223.9721
423400,6001,3381.076,408.0116,460.0077,845.0192,245.0071,2449.0532000000003,242.00639999999999,358.0055,532.0113,165.0049,1191.0221000000001
424001,6001,2540.5232,307.60630000000003,249.3656,821.0044,242.3543,1691.73,187.8591,174.6317,503.0753,155.74880000000002,752.2954
400800,6001,2516.3496,269.2023,364.8311,694.8562,142.1421,1828.731,164.2726,294.3048,487.82169999999996,95.1563,895.5712
424002,6001,1444.1484,158.7978,229.8274,315.8982,119.6894,995.0176,80.71340000000001,168.0462,195.799,81.8766,460.7174
423300,6001,2698.9701999999997,240.47910000000002,492.45140000000004,521.7469,196.4052,2023.9983000000002,140.65200000000002,391.86580000000004,357.56940000000003,134.3083,1021.1988
422200,6001,2460.8542,223.1681,399.0648,629.5812999999999,197.8409,1903.5518,139.7802,312.3492,445.7459,151.61110000000002,1046.6657
420500,6001,1506.8253,123.5178,236.48090000000002,218.90140000000002,105.93809999999999,1207.4515999999999,68.8826,206.0722,140.20420000000001,91.011,645.5762
422100,6001,1828.0452,164.4602,286.7327,359.2087,310.6204,1398.9171000000001,94.9792,221.58980000000003,249.92940000000002,237.6483,686.4601
422000,6001,1350.7777,93.6266,200.3612,321.0654,110.50290000000001,959.6589000000001,51.0769,164.48250000000002,208.2473,68.4416,494.8389
423200,6001,1653.8346000000001,193.9806,199.98000000000002,386.96130000000005,254.9745,1210.8789000000002,125.98740000000001,146.9853,262.9737,171.9828,525.9474
404400,6001,3858.8067,240.2142,784.8922,375.4869,162.8613,3235.1956999999998,147.2166,708.3751,253.91809999999998,133.0385,2008.3167
404200,6001,2558.9315,194.8079,555.8453,256.4532,80.26400000000001,2162.531,120.0274,497.5564,168.8847,60.204299999999996,1353.7519
400300,6001,3690.7282,176.2934,539.098,881.8839,193.9617,3016.0973999999997,105.6723,465.4624,671.2819,158.9261,1688.0485999999999
401100,6001,3061.031,237.73469999999998,233.38529999999997,1158.924,217.348,2256.6237,150.6453,182.1852,832.7677,153.6162,1087.8454
401300,6001,1739.8458,132.9504,268.4522,513.0962,107.6662,1179.9702,63.6716,186.3006,335.8794,74.438,580.9366
404101,6001,2301.8673,128.53719999999998,444.9145,569.0464,143.45159999999998,1881.4047999999998,93.78960000000001,363.7192,438.2779,119.5874,1142.6815000000001
404000,6001,2088.1310000000003,113.92240000000001,280.6834,595.0988,146.5069,1719.3683,80.821,244.2351,473.3076,116.173,994.2174
404102,6001,1697.9798,63.92529999999999,495.0432,409.0376,94.6763,1393.8518000000001,43.4005,412.83840000000004,322.30600000000004,75.0802,801.0709
405000,6001,2306.1232,102.2094,453.8394,320.3212,117.87700000000001,1968.5952,63.5774,396.834,239.1726,95.4966,1276.2323999999999
405100,6001,3277.851,223.7899,689.1582,386.6753,117.12209999999999,2776.3851,136.4218,614.1648,258.8245,91.5033,1758.7573
404900,6001,2974.0538,150.1222,530.4628,418.781,184.5352,2460.1814,101.2678,428.34159999999997,309.3916,146.2698,1559.3258
404800,6001,1703.0468999999998,90.0025,329.00829999999996,266.0073,104.003,1365.0394000000001,54.0017,266.00649999999996,177.0059,79.0025,863.0219999999999
401200,6001,2012.1801,90.9567,213.8983,620.7822,139.947,1610.3426,62.966499999999996,170.9164,470.8415,102.9587,810.6612
426200,6001,3665.2805,419.5714,666.626,405.2722,112.5407,2998.7141,234.7263,595.4247,231.8118,94.8065,1852.7423
403900,6001,2648.0724,114.2098,409.4762,663.0944,178.8249,2165.8075,77.3737,347.3463,506.1553,132.3413,1223.2815
