GEOID,mail,youth,adult,latinx
6001421100,,0.813999814,0.42397864,0.918874187
6001421500,,0.841996254,0.731548191,1.263726579
6001421600,,0.870094838,0.780349266,1.119910858
6001422500,,1.673749061,0.885704055,0.965224032
6001422600,,2.178114026,2.517992983,4.377593852
6001422400,,1.432568002,0.873944343,0.77308386
6001421700,,0.750583669,0.640290203,0.661855577
6001422700,,1.701264383,4.857352961,9.513847915
6001422800,-1,2.32764641,2.204662145,4.055402946
6001423700,,1.986029295,1.352947601,1.857672036
6001400100,-1,1.198406584,0.999846979,1.338929166
6001423800,-1,0.692866422,0.707088672,0.903132229
6001400200,,0.566838032,0.50455598,0.454263559
6001423902,-1,1.132860435,0.541683886,0.478115254
6001422300,,0.952532105,0.612454049,0.743597797
6001423601,,1.773658096,0.837824744,0.981804978
6001423602,,2.066980377,1.214260891,1.442334467
6001423500,,1.016822678,0.749298514,0.749108234
6001421200,,0.846607742,0.852376167,1.333955745
6001421300,,0.714366161,0.696382419,0.981294115
6001421400,,1.041798401,0.392301089,0.528159002
6001421900,-1,1.350889416,0.662843729,0.522610254
6001421800,,0.862006346,0.785003168,1.103702176
6001422900,,2.156827143,1.286926597,1.658766781
6001423000,,1.06250016,0.722669414,0.702857616
6001423100,,0.947688016,0.786007761,0.768311443
6001423400,,1.113919613,0.582220505,0.686039832
6001423901,,1.271696991,0.775255107,0.87696003
6001424001,,1.222113217,0.826680695,0.827023297
6001424002,,0.899729805,0.776078771,0.833587428
6001423300,,1.481111212,0.783739377,0.962086077
6001422200,,0.745857214,0.557051697,0.442050004
6001422100,,0.963937773,0.805374713,0.804779127
6001422000,-1,2.179338762,1.215775603,0.919909972
6001423200,,1.490394929,0.694945093,0.68928006
6001404400,,0.994258986,0.929001535,1.32335565
6001404200,-1,0.869168016,0.759874187,1.241063371
6001404300,,0.582890352,0.583141075,0.838320975
6001400300,-1,1.063848817,0.608901228,0.587880293
6001400400,,1.06428859,0.529912682,0.635205097
6001401100,-1,1.182922415,0.560114441,0.511424229
